AD 
PerformanceVector
PerformanceVector:
accuracy: 21.96% +/- 0.80% (micro average: 21.96%)
ConfusionMatrix:
True:	WARRANTS	OTHER OFFENSES	LARCENY/THEFT	VEHICLE THEFT	VANDALISM	NON-CRIMINAL	ROBBERY	ASSAULT	WEAPON LAWS	BURGLARY	SUSPICIOUS OCC	DRUNKENNESS	FORGERY/COUNTERFEITING	DRUG/NARCOTIC	STOLEN PROPERTY	SECONDARY CODES	TRESPASS	MISSING PERSON	FRAUD	KIDNAPPING	RUNAWAY	DRIVING UNDER THE INFLUENCE	SEX OFFENSES FORCIBLE	PROSTITUTION	DISORDERLY CONDUCT	ARSON	FAMILY OFFENSES	LIQUOR LAWS	BRIBERY	EMBEZZLEMENT	SUICIDE	LOITERING	SEX OFFENSES NON FORCIBLE	EXTORTION	GAMBLING	BAD CHECKS	TREA	RECOVERED VEHICLE	PORNOGRAPHY/OBSCENE MAT
EXTORTION:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAMBLING:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAD CHECKS:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREA:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECOVERED VEHICLE:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PORNOGRAPHY/OBSCENE MAT:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
logistic_loss: 0.640 +/- 0.002 (micro average: 0.640)


RF

PerformanceVector
PerformanceVector:
accuracy: 23.22% +/- 0.43% (micro average: 23.22%)
ConfusionMatrix:
True:	WARRANTS	OTHER OFFENSES	LARCENY/THEFT	VEHICLE THEFT	VANDALISM	NON-CRIMINAL	ROBBERY	ASSAULT	WEAPON LAWS	BURGLARY	SUSPICIOUS OCC	DRUNKENNESS	FORGERY/COUNTERFEITING	DRUG/NARCOTIC	STOLEN PROPERTY	SECONDARY CODES	TRESPASS	MISSING PERSON	FRAUD	KIDNAPPING	RUNAWAY	DRIVING UNDER THE INFLUENCE	SEX OFFENSES FORCIBLE	PROSTITUTION	DISORDERLY CONDUCT	ARSON	FAMILY OFFENSES	LIQUOR LAWS	BRIBERY	EMBEZZLEMENT	SUICIDE	LOITERING	SEX OFFENSES NON FORCIBLE	EXTORTION	GAMBLING	BAD CHECKS	TREA	RECOVERED VEHICLE	PORNOGRAPHY/OBSCENE MAT
WARRANTS:	81	139	96	24	24	52	11	66	7	22	19	8	4	84	2	4	6	15	10	1	2	2	1	0	13	2	0	4	1	1	0	7	0	0	0	0	0	3	0
OTHER OFFENSES:	8944	39397	19128	10787	5620	12046	5935	10837	1872	1698	4170	719	842	14034	669	1279	593	2455	1540	298	109	737	475	3334	901	245	54	417	34	65	20	364	25	19	19	32	0	493	4
LARCENY/THEFT:	29116	78048	149102	38737	36557	73979	15735	59581	6025	32987	24964	3295	9230	30080	3677	7880	5953	21484	14376	1850	1676	1455	3601	3713	2848	1146	390	1347	238	1043	425	747	119	218	117	358	6	2439	15
VEHICLE THEFT:	213	742	1024	2523	567	620	194	785	82	350	281	24	109	181	20	82	30	247	83	15	14	16	48	2	20	24	10	8	3	8	8	3	1	4	1	8	0	15	1
VANDALISM:	22	125	227	88	145	109	24	136	13	81	67	4	8	21	1	25	11	45	13	2	2	2	6	0	6	8	1	4	0	2	0	1	0	1	0	0	0	8	0
NON-CRIMINAL:	229	733	1141	345	319	1111	129	551	38	278	312	19	70	252	20	62	44	245	138	9	24	13	35	6	31	10	2	11	0	5	23	6	1	4	1	0	0	25	0
ROBBERY:	5	22	39	22	6	18	14	25	2	9	4	1	4	3	0	5	0	2	2	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASSAULT:	357	978	984	637	596	709	242	1407	152	426	393	42	82	287	29	315	79	467	88	71	37	16	56	26	23	47	12	14	6	5	9	2	0	3	2	1	0	62	0
WEAPON LAWS:	7	13	2	1	3	1	0	7	10	4	2	1	0	5	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
BURGLARY:	29	80	183	74	60	72	14	72	4	105	46	2	19	16	7	8	8	40	16	3	2	2	6	1	1	3	1	3	0	2	1	0	0	2	0	0	0	7	0
SUSPICIOUS OCC:	16	50	70	23	27	61	9	35	5	28	37	5	10	13	1	13	6	19	11	0	1	0	2	1	3	3	0	2	1	0	1	0	0	0	0	0	0	5	0
DRUNKENNESS:	7	5	2	0	1	3	0	5	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FORGERY/COUNTERFEITING:	4	9	11	3	2	7	0	1	0	3	0	0	6	3	2	0	0	5	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRUG/NARCOTIC:	3061	5435	2114	386	582	2991	655	3157	319	554	1040	153	188	8890	105	293	555	382	327	84	4	23	131	117	438	21	17	85	6	28	15	63	2	4	6	7	0	69	1
STOLEN PROPERTY:	2	6	8	2	0	0	1	0	0	0	0	0	0	6	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SECONDARY CODES:	2	12	7	1	7	5	3	59	3	1	9	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRESPASS:	4	15	4	0	4	1	2	2	0	0	8	1	1	3	0	0	8	1	0	0	0	0	0	0	13	1	0	0	0	0	0	1	0	0	0	0	0	1	0
MISSING PERSON:	12	47	90	33	40	83	7	49	8	42	23	0	11	16	0	3	5	251	13	1	20	1	4	0	1	2	0	1	0	2	2	0	0	0	0	0	0	2	0
FRAUD:	5	10	48	3	3	16	3	4	2	2	3	2	6	4	0	1	0	1	10	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
KIDNAPPING:	0	2	1	0	1	2	2	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNAWAY:	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRIVING UNDER THE INFLUENCE:	0	10	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SEX OFFENSES FORCIBLE:	2	3	4	1	1	1	3	7	0	1	6	0	0	1	0	3	0	1	1	2	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROSTITUTION:	9	33	7	3	2	6	2	4	1	1	1	0	1	14	0	1	0	0	1	0	0	0	1	240	3	0	0	0	0	0	0	8	0	0	0	0	0	0	1
